"","city_1","city_2"
"1","Shanghai","Shenyang"
"2","Chongqing","Dalian"
"3","Suzhou","Chaoyang"
"4","Beijing","Jinzhou"
"5","Chengdu","Huludao"
"6","Guangzhou","Changchun"
"7","Shenzhen","Haerbin"
"8","Shenyang","Fuzhou"
"9","Dalian","Xiamen"
"10","Fuzhou","Nanning"
"11","Xiamen","Haikou"
"12","Nanning","Guiyang"
"13","Haikou","Kunming"
"14","Guiyang","Lasa"
"15","Kunming","Lanzhou"
"16","Lasa","Xining"
"17","Lanzhou","Yinchuan"
"18","Xining","Wulumuqi"
"19","Yinchuan","Beijing"
"20","Wulumuqi","Shanghai"
"21","Tianjin","Chongqing"
"22","Shijiazhuang","Tianjin"
"23","Taiyuan","Shijiazhuang"
"24","Jinan","Tangshan"
"25","Qingdao","Qinhuangdao"
"26","Zhengzhou","Handan"
"27","Huhehaote","Xingtai"
"28","Baotou","Baoding"
"29","Nanjing","Zhangjiakou"
"30","Wuxi","Chengde"
"31","Changzhou","Cangzhou"
"32","Hangzhou","Langfang"
"33","Ningbo","Hengshui"
"34","Wenzhou","Taiyuan"
"35","Shaoxing","Datong"
"36","Jinhua","Shuozhou"
"37","Jiaxing","Xinzhou"
"38","Hefei","Yangquan"
"39","Xian","Changzhi"
"40","Tongchuan","Jincheng"
"41","Nanchang","Luliang"
"42","Changsha","Jinzhong"
"43","Zhuhai","Linfen"
"44","Foshan","Yuncheng"
"45","Huizhou","Jinan"
"46","Dongguan","Qingdao"
"47","Zhongshan","Zibo"
"48","Sanmenxia","Zaozhuang"
"49","Linfen","Weifang"
"50","Linyi","Jining"
"51","Lishui","Taian"
"52","Leshan","Rizhao"
"53","Jiujiang","Linyi"
"54","Bozhou","Dezhou"
"55","Baoding","Liaocheng"
"56","Xinyang","Binzhou"
"57","Liuan","Heze"
"58","Neijiang","Zhengzhou"
"59","Nanchong","Kaifeng"
"60","Nantong","Pingdingshan"
"61","Nanyang","Anyang"
"62","Taizhou","Hebi"
"63","Lvliang","Xinxiang"
"64","Zhoukou","Jiaozuo"
"65","Xianning","Puyang"
"66","Xianyang","Xuchang"
"67","Haerbin","Luohe"
"68","Tangshan","Nanyang"
"69","Shangqiu","Shangqiu"
"70","Datong","Xinyang"
"71","Xiaogan","Zhoukou"
"72","Anqing","Zhumadian"
"73","Anyang","Luoyang"
"74","Yibin","Sanmenxia"
"75","Yichang","Huhehaote"
"76","Yichun","Baotou"
"77","Baoji","Nanjing"
"78","Xuancheng","Wuxi"
"79","Suzhou_1","Xuzhou"
"80","Suqian","Changzhou"
"81","Yueyang","Suzhou"
"82","Changde","Nantong"
"83","Pingdingshan","Lianyungang"
"84","Guangan","Huaian"
"85","Langfang","Yancheng"
"86","Kaifeng","Yangzhou"
"87","Zhangjiakou","Zhenjiang"
"88","Taizhou_1","Taizhou"
"89","Dezhou","Suqian"
"90","Deyang","Hangzhou"
"91","Xinzhou","Ningbo"
"92","Yangzhou","Wenzhou"
"93","Chengde","Shaoxing"
"94","Xinxiang","Huzhou"
"95","Xinyu","Jiaxing"
"96","Rizhao","Jinhua"
"97","Jinzhong","Quzhou"
"98","Jincheng","Taizhou_1"
"99","Shuozhou","Lishui"
"100","Zhaoyang","Zhoushan"
"101","Zaozhuang","Hefei"
"102","Zhuzhou","Wuhu"
"103","Jiangmen","Bengbu"
"104","Chizhou","Huainan"
"105","Cangzhou","Maanshan"
"106","Taian","Huaibei"
"107","Luzhou","Tongling"
"108","Luoyang","Anqing"
"109","Jining","Huangshan"
"110","Zibo","Fuyang"
"111","Huaibei","Suzhou_1"
"112","Huainan","Chuzhou"
"113","Huaian","Liuan"
"114","Weinan","Xuancheng"
"115","Huzhou","Chizhou"
"116","Xiangtan","Bozhou"
"117","Chuzhou","Xian"
"118","Binzhou","Xianyang"
"119","Tahe","Baoji"
"120","Weifang","Tongchuan"
"121","Puyang","Weinan"
"122","Jiaozuo","Chengdu"
"123","Yiyang","Zigong"
"124","Yancheng","Luzhou"
"125","Meishan","Deyang"
"126","Qinhuangdao","Mianyang"
"127","Mianyang","Suining"
"128","Liaocheng","Neijiang"
"129","Zhaoqing","Leshan"
"130","Zigong","Meishan"
"131","Zhoushan","Yibin"
"132","Wuhu","Yaan"
"133","Jingzhou","Ziyang"
"134","Jingmen","Nanchong"
"135","Heze","Guangan"
"136","Pingxiang","Dazhou"
"137","Huludao","Xianning"
"138","Bangbu","Xiaogan"
"139","Hengshui","Huanggang"
"140","Quzhou","Huangshi"
"141","Xiangyang","Ezhou"
"142","Xuchang","Xiangyang"
"143","Ziyang","Yichang"
"144","Dazhou","Jingmen"
"145","Yuncheng","Jingzhou"
"146","Lianyungang","Suizhou"
"147","Suining","Nanchang"
"148","Xingtai","Pingxiang"
"149","Handan","Xinyu"
"150","Ezhou","Yichun"
"151","Tongling","Jiujiang"
"152","Jinzhou","Changsha"
"153","Zhenjiang","Zhuzhou"
"154","Changchun","Xiangtan"
"155","Changzhi","Yueyang"
"156","Fuyang","Changde"
"157","Yangquan","Yiyang"
"158","Suizhou","Guangzhou"
"159","Yaan","Shenzhen"
"160","Maanshan","Zhuhai"
"161","Zhumadian","Foshan"
"162","Hebi","Jiangmen"
"163","Huanggang","Zhaoqing"
"164","Huangshan","Huizhou"
"165","Huangshi","Dongguan"
"166","Shanghai","Zhongshan"
